node1,node2,similarity
501-53-1,952479-96-8,0.105
501-53-1,1038915-75-1,0.081
501-53-1,1038915-92-2,0.082
501-53-1,1038915-90-0,0.081
501-53-1,1038916-08-3,0.094
501-53-1,952480-01-2,0.094
501-53-1,952474-39-4,0.156
501-53-1,1038915-99-9,0.078
501-53-1,952479-98-0,0.107
501-53-1,952479-62-8,0.164
501-53-1,952479-61-7,0.157
501-53-1,1038916-05-0,0.078
501-53-1,1038915-58-0,0.081
501-53-1,952479-97-9,0.098
501-53-1,952480-02-3,0.082
501-53-1,952475-51-3,0.082
501-53-1,952480-00-1,0.105
501-53-1,952479-99-1,0.109
501-53-1,1038916-13-0,0.102
501-53-1,1038916-03-8,0.067
501-53-1,1038916-01-6,0.065
501-53-1,1038915-94-4,0.219
501-53-1,1038915-86-4,0.064
501-53-1,1038915-84-2,0.064
501-53-1,1038915-82-0,0.067
501-53-1,1038915-80-8,0.067
501-53-1,1038915-70-6,0.064
501-53-1,1038915-67-1,0.067
501-53-1,1038915-64-8,0.08
501-53-1,1038915-73-9,0.068
501-53-1,1038915-56-8,0.08
501-53-1,1038915-62-6,0.08
501-53-1,1038915-76-2,0.087
501-53-1,1038915-71-7,0.071
501-53-1,1038915-68-2,0.074
1692-25-7,460-00-4,0.086
1692-25-7,1038915-60-4,0.074
1692-25-7,5437-38-7,0.104
1692-25-7,5471-82-9,0.093
1692-25-7,518070-19-4,0.065
1692-25-7,138229-59-1,0.107
1692-25-7,875798-79-1,0.059
1692-25-7,132874-06-7,0.086
1692-25-7,1171197-20-8,0.059
1692-25-7,1038916-11-8,0.064
1692-25-7,952479-96-8,0.056
1692-25-7,1038915-75-1,0.074
1692-25-7,1038915-92-2,0.064
1692-25-7,1038915-90-0,0.063
1692-25-7,1038916-08-3,0.065
1692-25-7,952480-01-2,0.085
1692-25-7,952474-39-4,0.097
1692-25-7,1038915-99-9,0.05
1692-25-7,952479-98-0,0.057
1692-25-7,952479-62-8,0.091
1692-25-7,952479-61-7,0.071
1692-25-7,1038916-05-0,0.05
1692-25-7,1038915-58-0,0.074
1692-25-7,952479-97-9,0.052
1692-25-7,952480-02-3,0.091
