node1,node2,similarity
2937-50-0,308359-33-3,0.041
2937-50-0,144285-85-8,0.033
2937-50-0,497871-10-0,0.031
2937-50-0,497924-35-3,0.032
2937-50-0,497924-37-5,0.027
2937-50-0,497871-86-0,0.044
2937-50-0,497871-85-9,0.051
2937-50-0,497871-84-8,0.025
2937-50-0,497871-83-7,0.032
2937-50-0,497871-82-6,0.093
2937-50-0,497871-81-5,0.038
2937-50-0,497871-80-4,0.031
2937-50-0,497871-79-1,0.036
2937-50-0,497871-78-0,0.043
2937-50-0,497871-77-9,0.05
2937-50-0,497871-76-8,0.024
2937-50-0,497871-75-7,0.031
2937-50-0,497871-74-6,0.031
2937-50-0,497871-73-5,0.09
2937-50-0,497871-72-4,0.036
2937-50-0,497871-71-3,0.037
2937-50-0,497871-70-2,0.037
2937-50-0,497871-69-9,0.03
2937-50-0,497871-68-8,0.07
2937-50-0,497871-67-7,0.071
2937-50-0,497871-66-6,0.043
2937-50-0,497871-65-5,0.025
2937-50-0,497871-64-4,0.031
2937-50-0,497871-63-3,0.033
2937-50-0,497871-62-2,0.033
2937-50-0,497871-61-1,0.032
2937-50-0,497871-60-0,0.032
2937-50-0,497871-59-7,0.048
2937-50-0,497871-58-6,0.033
2937-50-0,497871-57-5,0.033
2937-50-0,497871-56-4,0.033
2937-50-0,497871-55-3,0.032
2937-50-0,497871-54-2,0.032
2937-50-0,497871-53-1,0.048
2937-50-0,497871-52-0,0.032
2937-50-0,497871-51-9,0.033
2937-50-0,497871-50-8,0.033
2937-50-0,497871-49-5,0.036
2937-50-0,497871-48-4,0.042
2937-50-0,497871-46-2,0.068
2937-50-0,497871-45-1,0.068
2937-50-0,497871-44-0,0.042
2937-50-0,497871-43-9,0.042
2937-50-0,497871-42-8,0.024
2937-50-0,497871-41-7,0.03
2937-50-0,497871-40-6,0.032
2937-50-0,497871-39-3,0.032
2937-50-0,497871-38-2,0.031
2937-50-0,497871-37-1,0.031
2937-50-0,497871-36-0,0.047
2937-50-0,497871-35-9,0.032
2937-50-0,497871-34-8,0.032
2937-50-0,497871-33-7,0.032
2937-50-0,497871-31-5,0.031
2937-50-0,497871-30-4,0.031
2937-50-0,497871-28-0,0.046
2937-50-0,497871-25-7,0.031
2937-50-0,497871-20-2,0.032
2937-50-0,497871-18-8,0.032
2937-50-0,497871-15-5,0.035
2937-50-0,497871-13-3,0.041
608-07-1,17082-09-6,0.045
608-07-1,61-49-4,0.286
608-07-1,375-16-6,0.0
608-07-1,299-26-3,0.25
608-07-1,5130-24-5,0.018
608-07-1,304-52-9,0.312
608-07-1,1821-47-2,0.558
608-07-1,3610-36-4,0.566
608-07-1,1134-01-6,0.349
608-07-1,576-16-9,0.528
608-07-1,20776-45-8,0.548
608-07-1,14490-05-2,0.306
608-07-1,575-85-9,0.379
608-07-1,497871-47-3,0.13
608-07-1,712-08-3,0.312
608-07-1,31677-75-5,0.25
608-07-1,308359-33-3,0.063
608-07-1,144285-85-8,0.078
608-07-1,497871-10-0,0.126
608-07-1,497924-35-3,0.076
608-07-1,497924-37-5,0.079
608-07-1,497871-86-0,0.074
608-07-1,497871-85-9,0.074
608-07-1,497871-84-8,0.087
608-07-1,497871-83-7,0.081
608-07-1,497871-82-6,0.08
608-07-1,497871-81-5,0.081
608-07-1,497871-80-4,0.073
608-07-1,497871-79-1,0.076
608-07-1,497871-78-0,0.072
608-07-1,497871-77-9,0.072
608-07-1,497871-76-8,0.085
608-07-1,497871-75-7,0.079
